DfENumber,SchoolName,SchoolType,SchoolPhase,Location,Address,Postcode,Telephone,Email,WebsiteAddress,AgeRange,Nursery,OpeningHours,Headteacher,PupilCount,Ward
8162000,Acomb Primary School,Academy,Primary,"53.95326988144572,-1.114962100982666","West Bank, York",YO24 4ES, 01904 798453,office@acomb.pmat.academy,www.acombprimary.org.uk,5 to 11,,8.45am to 3.00pm,Lee Haynes,310 pupils in May 2018,Holgate
8164702,All Saints Roman Catholic School,Voluntary Aided,Secondary,"53.955075454366835,-1.0910367965698242","Nunnery Lane, York and Mill Mount Lane, York",YO23 1JG and YO24 1BJ, 01904 647877,allsaints.school@york.gov.uk,www.allsaints.york.sch.uk,11 to 18,,8.35am to 3.25pm,Currently vacant,1353 pupils in May 2018,Micklegate
8167032,Applefields School,Community,SpecialSchool,"53.965099381127885,-1.045975685119629","Bad Bargain Lane, York",YO31 0LW, 01904 553900,info@applefields.york.sch.uk,www.applefieldsschool.co.uk,11 to 19,,9.15am to 3.15pm,Adam Booker,141 pupils in May 2018,Heworth
8164500,Archbishop Holgate's Church of England School,Academy,Secondary,"53.95286582645022,-1.0402250289916992","Hull Road, York",YO10 5ZA, 01904 411341,reception@archbishopholgates.org,www.archbishopholgates.org,11 to 18,,8.45am to 3.10pm,Andrew Daly,1445 pupils in May 2018,Hull Road
8163229,Archbishop of York's CE Junior School,Voluntary Controlled,Primary,"53.920854762212954,-1.101685523899505","Copmanthorpe Lane, Bishopthorpe, York",YO23 2QT, 01904 551630,ayjs@york.gov.uk,www.ayjs.co.uk,7 to 11,,8.40am to 3.20pm,Jonathan Green,246 pupils in May 2018,Bishopthorpe
8162431,Badger Hill Primary School,Academy,Primary,"53.95027725625462,-1.0406970977783203","Crossways, Badger Hill, York",YO10 5JF, 01904 555225,office@badgerhill.pmat.academy,www.badgerhillprimaryschool.co.uk ,5 to 11,,8.45am to 3.15pm,Vicky Whittingham,205 pupils in May 2018,Hull Road
8162386,Bishopthorpe Infant School,Community,Primary,"53.92196675683432,-1.1002693175396416","Sim Balk Lane, Bishopthorpe, York",YO23 2QQ, 01904 707506,bishopthorpe.infant@york.gov.uk ,www.bishopthorpeinfantschool.co.uk,5 to 11,,8.45am to 3.15pm,Nicola Fox,163 pupils in May 2018,Bishopthorpe
8162024,Burton Green Primary School,Academy,Primary,"53.979663864506,-1.085200309753418","Burton Green, Clifton, York",YO30 6JE, 01904 552380,contact@burtongreenprimary.org,www.burtongreenprimary.co.uk,5 to 11,Yes,8.50am to 3.20pm,Currently vacant,153 pupils in May 2018,Clifton
8162003,Carr Infant School,Community,Primary,"53.96323112413601,-1.1290597915649414","Ostman Road, Acomb, York",YO26 5QA, 01904 565140,carr.infants@york.gov.uk,www.carrinfantschool.co.uk,5 to 7,Yes,8.55am to 2.55pm,Rebecca Fernandes,240 pupils in May 2018,Acomb
8162002,Carr Junior School,Community,Primary,"53.96314275855571,-1.1291241645812988","Ostman Road, Acomb, York",YO26 5QA, 01904 798996,carrjunior@york.gov.uk,www.carrjunior.co.uk,7 to 11,,8.45am to 3.05pm,Caroline Ryder,281 pupils in May 2018,Acomb
8162018,Clifton Green Primary School,Community,Primary,"53.97123374419088,-1.0933113098144531","Kingsway North, Clifton, York",YO30 6JA, 01904 555105,cliftongreenprimary@york.gov.uk,www.cliftongreenprimary.co.uk,5 to 11,Yes,9.00am to 3.20pm,Dave Brown,385 pupils in May 2018,Clifton
8162430,Clifton with Rawcliffe Primary School,Academy,Primary,"53.98261652721886,-1.1117219924926757","Eastholme Drive, Rawcliffe, York",YO30 5TA, 01904 555230,admin@cwr.pmat.academy,www.cwr.york.sch.uk,5 to 11,Yes,8.45am to 3.20pm,Andy Herbert,606 pupils in May 2018,Rawcliffe and Clifton Without
8162013,Copmanthorpe Primary School,Community,Primary,"53.91644692868204,-1.1385869979858398","Low Green, Copmanthorpe, York",YO23 3SB, 01904 554535,copmanthorpe.primary@york.gov.uk ,www.copmanthorpeprimary.co.uk,5 to 11,,8.45am to 3.15pm,Jenny Rogers,391 pupils in May 2018,Copmanthorpe
8162007,Dringhouses Primary School,Community,Primary,"53.941064431197425,-1.1103050710516982","St Helen's Road, York",YO24 1HW, 01904 553940,dringhouses.primary@york.gov.uk,www.dringhouses.york.sch.uk,5 to 11,,8.45am to 3.15pm,Gill Williams,303 pupils in May 2018,Dringhouses and Woodthorpe
8163151,Dunnington CE Primary School,Academy,Primary,"53.964215756500735,-0.9865379333496094","Pear Tree Lane, Dunnington, York",YO19 5QG, 01904 552910,dunnington.primary@york.gov.uk,www.dunningtonprimary.co.uk,5 to 11,,8.55am to 3.20pm,Caroline Hancy,259 pupils in May 2018,Osbaldwick and Derwent
8163152,Elvington CE Primary School,Voluntary Controlled,Primary,"53.92409841840762,-0.9411327840643935","Dauby Lane, Elvington, York",YO41 4HP, 01904 555280,pselvington@york.gov.uk,www.elvingtonprimary.org.uk,5 to 11,,8.55am to 3.15pm,Linda Collier,138 pupils in May 2018,Wheldrake
8162008,Fishergate Primary School,Community,Primary,"53.95165995154567,-1.0755436422186904","Fishergate, York",YO10 4AP, 01904 555335,fishergate.primary@york.gov.uk,www.fishergateschool.com,5 to 11,Yes,8.45am to 3.15pm,Tina Clarke,307 pupils in May 2018,Fishergate
